name,cap_hit_percentage_at_signing,signing_date,age_at_signing,is_ufa,expires_as_ufa,is_center,is_winger,is_defenseman,prev_1_goals,prev_2_goals,prev_3_goals,prev_1_assists,prev_2_assists,prev_3_assists,prev_1_xgf,prev_2_xgf,prev_3_xgf,prev_1_corsi,prev_2_corsi,prev_3_corsi,prev_1_sh,prev_2_sh,prev_3_sh
Denis Gurianov,0.0313,2020-10-22,24.0,0,0,0,1,0,20.0,1.0,0.0,9.0,2.0,0.0,0.58,0.47,0.0,0.56,0.47,0.0,0.1515,0.1515,0.1515
Derek Forbort,0.0123,2020-10-11,29.0,1,1,0,0,1,0.0,2.0,1.0,1.0,12.0,17.0,0.45,0.38,0.43,0.45,0.41,0.44,0.0,0.0,0.0
Derek Forbort,0.0337,2017-10-19,26.0,0,1,0,0,1,2.0,1.0,0.0,16.0,1.0,0.0,0.45,0.56,0.0,0.47,0.58,0.0,0.02,0.02,0.02
Derek Forbort,0.0089,2016-07-09,25.0,0,0,0,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.56,0.0,0.0,0.58,0.0,0.0,0.0714,0.0714,0.0714
Derek Grant,0.0184,2020-10-09,31.0,1,1,1,1,0,15.0,4.0,12.0,10.0,10.0,12.0,0.46,0.43,0.47,0.39,0.43,0.46,0.1596,0.1596,0.1596
Derek Grant,0.0088,2019-06-20,30.0,1,1,1,1,0,4.0,12.0,0.0,10.0,12.0,4.0,0.43,0.47,0.34,0.43,0.46,0.35,0.0541,0.0541,0.0541
Derek Grant,0.008199999999999999,2018-07-19,29.0,1,1,1,1,0,12.0,0.0,0.0,12.0,4.0,1.0,0.47,0.34,0.43,0.46,0.35,0.44,0.1846,0.1846,0.1846
Derek Grant,0.0087,2017-07-01,28.0,1,1,1,1,0,0.0,0.0,0.0,4.0,1.0,0.0,0.34,0.43,0.0,0.35,0.44,0.0,0.0,0.0,0.0
Derek Grant,0.0089,2016-07-02,27.0,0,1,1,1,0,0.0,0.0,0.0,1.0,0.0,2.0,0.43,0.0,0.36,0.44,0.0,0.45,0.0,0.0,0.0
Derek Grant,0.0098,2015-07-01,26.0,1,0,1,1,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.36,0.19,0.0,0.45,0.36,0.0,0.0,0.0
Derek Grant,0.0101,2014-07-10,25.0,0,1,1,1,0,0.0,0.0,0.0,2.0,0.0,0.0,0.36,0.19,0.0,0.45,0.36,0.0,0.0,0.0,0.0
Derek Ryan,0.0393,2018-07-01,32.0,1,1,1,1,0,15.0,11.0,2.0,23.0,18.0,0.0,0.62,0.56,0.64,0.61,0.55,0.59,0.1111,0.1111,0.1111
Derek Ryan,0.019,2017-06-26,31.0,1,1,1,1,0,11.0,2.0,0.0,18.0,0.0,0.0,0.56,0.64,0.0,0.55,0.59,0.0,0.1507,0.1507,0.1507
Derek Ryan,0.0084,2016-06-16,30.0,1,1,1,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.59,0.0,0.0,0.4,0.4,0.4
Derek Ryan,0.0087,2015-06-15,28.0,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derick Brassard,0.0123,2020-12-30,33.0,1,1,1,1,0,10.0,14.0,21.0,22.0,9.0,25.0,0.52,0.48,0.53,0.5,0.49,0.55,0.0909,0.0909,0.0909
Derick Brassard,0.0147,2019-08-21,32.0,1,1,1,1,0,14.0,21.0,14.0,9.0,25.0,25.0,0.48,0.53,0.6,0.49,0.55,0.58,0.1273,0.1273,0.1273
Derick Brassard,0.0725,2014-07-27,27.0,0,1,1,1,0,18.0,12.0,14.0,27.0,17.0,27.0,0.6,0.54,0.57,0.6,0.56,0.56,0.1132,0.1132,0.1132
Devin Shore,0.0104,2021-06-09,26.0,0,1,1,1,0,5.0,5.0,10.0,4.0,6.0,18.0,0.41,0.5,0.48,0.35,0.47,0.46,0.1852,0.1852,0.1852
Devin Shore,0.0086,2021-01-13,26.0,0,0,1,1,0,5.0,5.0,10.0,4.0,6.0,18.0,0.41,0.5,0.48,0.35,0.47,0.46,0.1852,0.1852,0.1852
Devin Shore,0.028900000000000002,2018-07-13,24.0,0,0,1,1,0,11.0,13.0,0.0,21.0,20.0,0.0,0.51,0.53,0.46,0.51,0.53,0.34,0.0902,0.0902,0.0902
Devon Toews,0.050300000000000004,2020-10-27,27.0,0,1,0,0,1,6.0,5.0,0.0,22.0,14.0,0.0,0.57,0.6,0.0,0.55,0.56,0.0,0.0488,0.0488,0.0488
Devon Toews,0.0088,2018-07-16,25.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dmitry Kulikov,0.0141,2020-10-22,30.0,1,1,0,0,1,2.0,0.0,3.0,8.0,6.0,8.0,0.43,0.44,0.41,0.48,0.44,0.42,0.037,0.037,0.037
Dmitry Kulikov,0.057800000000000004,2017-07-01,27.0,1,1,0,0,1,2.0,1.0,3.0,3.0,16.0,19.0,0.39,0.47,0.47,0.44,0.45,0.48,0.0476,0.0476,0.0476
Dmitry Kulikov,0.06280000000000001,2014-07-18,24.0,0,1,0,0,1,8.0,3.0,4.0,11.0,7.0,24.0,0.46,0.49,0.52,0.5,0.51,0.52,0.063,0.063,0.063
Dmitry Kulikov,0.038900000000000004,2013-01-18,22.0,0,0,0,0,1,3.0,4.0,6.0,7.0,24.0,20.0,0.49,0.52,0.51,0.51,0.52,0.53,0.0577,0.0577,0.0577
Dmitry Orlov,0.068,2017-06-30,26.0,0,1,0,0,1,6.0,8.0,0.0,26.0,21.0,0.0,0.55,0.52,0.0,0.56,0.55,0.0,0.048,0.048,0.048
Dmitry Orlov,0.0352,2016-09-21,25.0,0,0,0,0,1,8.0,0.0,3.0,21.0,0.0,8.0,0.52,0.0,0.5,0.55,0.0,0.52,0.0889,0.0889,0.0889
Dmitry Orlov,0.028999999999999998,2014-03-13,22.0,0,0,0,0,1,3.0,0.0,3.0,8.0,1.0,16.0,0.5,0.41,0.49,0.52,0.49,0.5,0.0508,0.0508,0.0508
Dmytro Timashov,0.0086,2021-01-13,24.0,0,0,0,1,0,0.0,4.0,0.0,0.0,5.0,0.0,0.05,0.45,0.0,0.31,0.47,0.0,0.0,0.0,0.0
Dominic Toninato,0.0086,2020-10-10,27.0,0,1,1,1,0,4.0,1.0,0.0,6.0,0.0,2.0,0.42,0.56,0.53,0.44,0.34,0.47,0.1053,0.1053,0.1053
Dominic Toninato,0.0095,2019-07-15,26.0,0,0,1,1,0,1.0,0.0,0.0,0.0,2.0,0.0,0.56,0.53,0.0,0.34,0.47,0.0,1.0,1.0,1.0
Dominik Kahun,0.012,2020-11-02,25.0,0,0,1,1,0,12.0,13.0,0.0,19.0,24.0,0.0,0.51,0.5,0.0,0.53,0.52,0.0,0.1379,0.1379,0.1379
Dominik Kubalik,0.0454,2020-10-09,25.0,0,0,0,1,0,30.0,0.0,0.0,17.0,0.0,0.0,0.55,0.0,0.0,0.55,0.0,0.0,0.1923,0.1923,0.1923
Dominik Simon,0.0086,2020-10-22,26.0,0,0,0,1,0,7.0,8.0,4.0,15.0,20.0,8.0,0.48,0.62,0.53,0.53,0.57,0.55,0.0686,0.0686,0.0686
Dominik Simon,0.009399999999999999,2018-06-25,24.0,0,0,0,1,0,4.0,0.0,0.0,8.0,1.0,1.0,0.53,0.51,0.75,0.55,0.46,0.59,0.1111,0.1111,0.1111
Dougie Hamilton,0.0805,2015-06-30,22.0,0,1,0,0,1,10.0,7.0,5.0,32.0,18.0,11.0,0.54,0.61,0.55,0.59,0.58,0.59,0.0532,0.0532,0.0532
Drake Caggiula,0.0086,2020-12-21,26.0,0,1,0,1,0,9.0,12.0,13.0,6.0,11.0,7.0,0.47,0.44,0.49,0.48,0.49,0.49,0.1579,0.1579,0.1579
Drake Caggiula,0.02,2018-06-14,23.0,0,0,0,1,0,13.0,7.0,0.0,7.0,11.0,0.0,0.49,0.58,0.0,0.49,0.52,0.0,0.125,0.125,0.125
Drew Doughty,0.1384,2018-07-01,29.0,1,1,0,0,1,10.0,12.0,14.0,50.0,32.0,37.0,0.52,0.53,0.53,0.53,0.56,0.58,0.0488,0.0488,0.0488
Drew Doughty,0.10890000000000001,2011-09-30,22.0,0,1,0,0,1,11.0,16.0,6.0,29.0,43.0,21.0,0.56,0.59,0.52,0.58,0.57,0.52,0.0791,0.0791,0.0791
Drew Shore,0.0086,2020-10-21,30.0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Shore,0.008199999999999999,2017-03-12,26.0,0,0,1,0,0,0.0,0.0,1.0,2.0,1.0,2.0,0.34,0.18,0.33,0.43,0.4,0.38,0.0,0.0,0.0
Drew Shore,0.011899999999999999,2015-07-15,25.0,0,0,1,0,0,1.0,5.0,3.0,2.0,2.0,10.0,0.33,0.37,0.57,0.38,0.46,0.55,0.0769,0.0769,0.0769
Dryden Hunt,0.0092,2020-10-10,25.0,0,0,0,1,0,0.0,3.0,0.0,4.0,7.0,1.0,0.53,0.52,0.44,0.5,0.47,0.49,0.0,0.0,0.0
Dryden Hunt,0.0088,2019-07-17,24.0,0,0,0,1,0,3.0,0.0,0.0,7.0,1.0,0.0,0.52,0.44,0.0,0.47,0.49,0.0,0.0566,0.0566,0.0566
Dustin Brown,0.09140000000000001,2013-07-18,29.0,1,1,0,1,0,18.0,22.0,28.0,11.0,32.0,29.0,0.62,0.6,0.59,0.63,0.59,0.56,0.1268,0.1268,0.1268
Dylan DeMelo,0.0368,2020-10-07,28.0,1,1,0,0,1,0.0,4.0,0.0,11.0,18.0,20.0,0.51,0.47,0.52,0.49,0.45,0.51,0.0,0.0,0.0
Dylan DeMelo,0.0113,2018-07-07,26.0,0,1,0,0,1,0.0,1.0,2.0,20.0,7.0,2.0,0.52,0.54,0.62,0.51,0.52,0.55,0.0,0.0,0.0
